Day;Videos Watched;TikTok Usage (Hours)
2024-09-10;175;0.7291666666666666
2024-09-11;278;1.1583333333333334
2024-09-12;61;0.2541666666666666
2024-09-13;321;1.3375
2024-09-14;101;0.4208333333333333
2024-09-15;412;1.7166666666666666
2024-09-16;131;0.5458333333333333
2024-09-17;60;0.25
2024-09-18;172;0.7166666666666667
2024-09-19;93;0.3875
2024-09-20;261;1.0875
2024-09-21;179;0.7458333333333333
2024-09-22;134;0.5583333333333333
2024-09-23;35;0.1458333333333333
2024-09-24;210;0.875
2024-09-25;4;0.0166666666666666
2024-09-26;104;0.4333333333333333
2024-09-27;7;0.0291666666666666
2024-09-28;375;1.5625
2024-09-29;37;0.1541666666666666
2024-09-30;16;0.0666666666666666
2024-10-01;26;0.1083333333333333
2024-10-02;90;0.375
2024-10-03;29;0.1208333333333333
2024-10-04;8;0.0333333333333333
2024-10-05;113;0.4708333333333333
2024-10-06;37;0.1541666666666666
2024-10-07;3;0.0125
2024-10-08;144;0.6
2024-10-09;111;0.4625
2024-10-10;96;0.4
2024-10-11;21;0.0875
2024-10-12;73;0.3041666666666666
2024-10-13;67;0.2791666666666667
2024-10-14;75;0.3125
2024-10-15;136;0.5666666666666667
2024-10-16;173;0.7208333333333333
2024-10-17;173;0.7208333333333333
2024-10-18;74;0.3083333333333333
2024-10-19;110;0.4583333333333333
2024-10-20;125;0.5208333333333334
2024-10-21;41;0.1708333333333333
2024-10-22;49;0.2041666666666666
2024-10-23;86;0.3583333333333333
2024-10-24;84;0.35
2024-10-25;27;0.1125
2024-10-26;59;0.2458333333333333
2024-10-27;16;0.0666666666666666
2024-10-28;71;0.2958333333333333
2024-10-29;20;0.0833333333333333
2024-10-31;73;0.3041666666666666
2024-11-01;43;0.1791666666666666
2024-11-02;36;0.15
2024-11-03;184;0.7666666666666667
2024-11-04;99;0.4125
2024-11-05;52;0.2166666666666666
2024-11-06;84;0.35
2024-11-07;134;0.5583333333333333
2024-11-08;23;0.0958333333333333
2024-11-09;102;0.425
2024-11-10;65;0.2708333333333333
2024-11-11;17;0.0708333333333333
2024-11-12;4;0.0166666666666666
2024-11-13;305;1.2708333333333333
2024-11-14;301;1.2541666666666669
2024-11-15;71;0.2958333333333333
2024-11-16;4;0.0166666666666666
2024-11-17;161;0.6708333333333333
2024-11-18;178;0.7416666666666667
2024-11-19;62;0.2583333333333333
2024-11-20;53;0.2208333333333333
2024-11-21;227;0.9458333333333332
2024-11-22;524;2.183333333333333
2024-11-23;52;0.2166666666666666
2024-11-24;252;1.05
2024-11-25;81;0.3375
2024-11-26;116;0.4833333333333333
2024-11-28;192;0.8
2024-11-29;290;1.2083333333333333
2024-11-30;24;0.1
2024-12-01;170;0.7083333333333334
2024-12-02;97;0.4041666666666667
2024-12-03;100;0.4166666666666667
2024-12-04;135;0.5625
2024-12-05;41;0.1708333333333333
2024-12-06;147;0.6125
2024-12-07;45;0.1875
2024-12-08;3;0.0125
2024-12-10;96;0.4
2024-12-11;249;1.0375
2024-12-12;105;0.4375
2024-12-13;9;0.0375
2024-12-14;89;0.3708333333333333
2024-12-15;105;0.4375
2024-12-16;96;0.4
2024-12-17;217;0.9041666666666668
2024-12-18;383;1.5958333333333334
2024-12-19;51;0.2125
2024-12-20;134;0.5583333333333333
2024-12-21;252;1.05
2024-12-22;134;0.5583333333333333
2024-12-23;26;0.1083333333333333
2024-12-24;103;0.4291666666666666
2024-12-25;131;0.5458333333333333
2024-12-26;349;1.4541666666666666
2024-12-27;44;0.1833333333333333
2024-12-28;395;1.6458333333333333
2024-12-29;266;1.1083333333333334
2024-12-30;245;1.0208333333333333
2024-12-31;397;1.6541666666666666
2025-01-01;111;0.4625
2025-01-02;7;0.0291666666666666
2025-01-03;46;0.1916666666666666
2025-01-04;466;1.9416666666666669
2025-01-05;169;0.7041666666666667
2025-01-06;22;0.0916666666666666
2025-01-07;186;0.775
2025-01-08;345;1.4375
2025-01-09;48;0.2
2025-01-10;664;2.7666666666666666
2025-01-11;328;1.3666666666666667
2025-01-12;7;0.0291666666666666
2025-01-13;94;0.3916666666666666
2025-01-14;344;1.4333333333333331
2025-01-15;136;0.5666666666666667
2025-01-16;79;0.3291666666666666
2025-01-17;244;1.0166666666666666
2025-01-18;549;2.2875
2025-01-19;161;0.6708333333333333
2025-01-20;99;0.4125
2025-01-21;226;0.9416666666666668
2025-01-22;61;0.2541666666666666
2025-01-23;273;1.1375
2025-01-24;83;0.3458333333333333
2025-01-25;465;1.9375
2025-01-26;353;1.4708333333333334
2025-01-27;255;1.0625
2025-01-28;380;1.5833333333333333
2025-01-29;257;1.0708333333333333
2025-01-30;354;1.475
2025-01-31;523;2.1791666666666667
2025-02-01;92;0.3833333333333333
2025-02-02;108;0.45
2025-02-03;267;1.1125
2025-02-04;28;0.1166666666666666
2025-02-05;129;0.5375
2025-02-06;116;0.4833333333333333
2025-02-07;119;0.4958333333333333
2025-02-08;463;1.9291666666666667
2025-02-09;215;0.8958333333333334
2025-02-10;100;0.4166666666666667
2025-02-11;256;1.0666666666666669
2025-02-12;357;1.4875
2025-02-13;172;0.7166666666666667
2025-02-14;90;0.375
2025-02-15;504;2.1
2025-02-16;125;0.5208333333333334
2025-02-18;24;0.1
2025-02-19;59;0.2458333333333333
2025-02-20;96;0.4
2025-02-21;241;1.0041666666666669
2025-02-23;188;0.7833333333333333
2025-02-24;224;0.9333333333333332
2025-02-25;311;1.2958333333333334
2025-02-26;69;0.2875
2025-02-27;197;0.8208333333333333
2025-02-28;102;0.425
2025-03-01;111;0.4625
2025-03-02;59;0.2458333333333333
2025-03-04;17;0.0708333333333333
2025-03-05;105;0.4375
2025-03-06;163;0.6791666666666667
2025-03-07;208;0.8666666666666667
2025-03-08;285;1.1875
2025-03-09;130;0.5416666666666666
2025-03-10;68;0.2833333333333333
2025-03-11;6;0.025
