Date;2025 Grammy Awards (Countdown);2025 Oscar Awards (Countdown);1404 Nowruz (Countdown);2025 New Year (Countdown);2024 United States presidential election (Countdown);2024 Paris Fashion Week (Bool);2025 Ramazan (Bool);24/25 School Year (Bool);24/25 UEFA Champions League (Bool);Weekday (Bool);Weekend (Bool)
2024-09-11;145;173;191;112;55;0;0;0;0;1;0
2024-09-12;144;172;190;111;54;0;0;0;0;1;0
2024-09-13;143;171;189;110;53;0;0;0;0;1;0
2024-09-14;142;170;188;109;52;0;0;0;0;0;1
2024-09-15;141;169;187;108;51;0;0;0;0;0;1
2024-09-16;140;168;186;107;50;0;0;0;0;1;0
2024-09-17;139;167;185;106;49;0;0;0;1;1;0
2024-09-18;138;166;184;105;48;0;0;0;1;1;0
2024-09-19;137;165;183;104;47;0;0;0;1;1;0
2024-09-20;136;164;182;103;46;0;0;0;0;1;0
2024-09-21;135;163;181;102;45;0;0;0;0;0;1
2024-09-22;134;162;180;101;44;0;0;0;0;0;1
2024-09-23;133;161;179;100;43;1;0;1;0;1;0
2024-09-24;132;160;178;99;42;1;0;1;0;1;0
2024-09-25;131;159;177;98;41;1;0;1;0;1;0
2024-09-26;130;158;176;97;40;1;0;1;0;1;0
2024-09-27;129;157;175;96;39;1;0;1;0;1;0
2024-09-28;128;156;174;95;38;1;0;1;0;0;1
2024-09-29;127;155;173;94;37;1;0;1;0;0;1
2024-09-30;126;154;172;93;36;1;0;1;0;1;0
2024-10-01;125;153;171;92;35;1;0;1;1;1;0
2024-10-02;124;152;170;91;34;0;0;1;1;1;0
2024-10-03;123;151;169;90;33;0;0;1;0;1;0
2024-10-04;122;150;168;89;32;0;0;1;0;1;0
2024-10-05;121;149;167;88;31;0;0;1;0;0;1
2024-10-06;120;148;166;87;30;0;0;1;0;0;1
2024-10-07;119;147;165;86;29;0;0;1;0;1;0
2024-10-08;118;146;164;85;28;0;0;1;0;1;0
2024-10-09;117;145;163;84;27;0;0;1;0;1;0
2024-10-10;116;144;162;83;26;0;0;1;0;1;0
2024-10-11;115;143;161;82;25;0;0;1;0;1;0
2024-10-12;114;142;160;81;24;0;0;1;0;0;1
2024-10-13;113;141;159;80;23;0;0;1;0;0;1
2024-10-14;112;140;158;79;22;0;0;1;0;1;0
2024-10-15;111;139;157;78;21;0;0;1;0;1;0
2024-10-16;110;138;156;77;20;0;0;1;0;1;0
2024-10-17;109;137;155;76;19;0;0;1;0;1;0
2024-10-18;108;136;154;75;18;0;0;1;0;1;0
2024-10-19;107;135;153;74;17;0;0;1;0;0;1
2024-10-20;106;134;152;73;16;0;0;1;0;0;1
2024-10-21;105;133;151;72;15;0;0;1;0;1;0
2024-10-22;104;132;150;71;14;0;0;1;1;1;0
2024-10-23;103;131;149;70;13;0;0;1;1;1;0
2024-10-24;102;130;148;69;12;0;0;1;0;1;0
2024-10-25;101;129;147;68;11;0;0;1;0;1;0
2024-10-26;100;128;146;67;10;0;0;1;0;0;1
2024-10-27;99;127;145;66;9;0;0;1;0;0;1
2024-10-28;98;126;144;65;8;0;0;1;0;1;0
2024-10-29;97;125;143;64;7;0;0;1;0;1;0
2024-10-30;96;124;142;63;6;0;0;1;0;1;0
2024-10-31;95;123;141;62;5;0;0;1;0;1;0
2024-11-01;94;122;140;61;4;0;0;1;0;1;0
2024-11-02;93;121;139;60;3;0;0;1;0;0;1
2024-11-03;92;120;138;59;2;0;0;1;0;0;1
2024-11-04;91;119;137;58;1;0;0;1;0;1;0
2024-11-05;90;118;136;57;0;0;0;1;1;1;0
2024-11-06;89;117;135;56;-1;0;0;1;1;1;0
2024-11-07;88;116;134;55;-2;0;0;1;0;1;0
2024-11-08;87;115;133;54;-3;0;0;1;0;1;0
2024-11-09;86;114;132;53;-4;0;0;1;0;0;1
