datetime;feelslike;precip;snow;snowdepth;cloudcover;uvindex;general
2024-09-11;25.7;8;0;0;53;6;rain
2024-09-12;25.5;16;0;0;40.3;7;rain
2024-09-13;26.1;0;0;0;17.1;7;clear-day
2024-09-14;27;0;0;0;43.3;7;partly-cloudy-day
2024-09-15;23.5;938;0;0;66.7;4;rain
2024-09-16;21.2;519;0;0;47.5;8;rain
2024-09-17;21.5;66;0;0;38.8;6;rain
2024-09-18;21.3;0;0;0;65.5;5;partly-cloudy-day
2024-09-19;21.1;0;0;0;45.6;6;partly-cloudy-day
2024-09-20;20.8;0;0;0;66.3;6;partly-cloudy-day
2024-09-21;20.7;2.964;0;0;69.5;5;rain
2024-09-22;19.9;662;0;0;70.6;6;rain
2024-09-23;20;394;0;0;82;5;rain
2024-09-24;20.3;0;0;0;32.4;7;partly-cloudy-day
2024-09-25;21.2;0;0;0;8.6;7;clear-day
2024-09-26;21.2;0;0;0;22.2;7;partly-cloudy-day
2024-09-27;21.8;0;0;0;9;7;clear-day
2024-09-28;22.5;0;0;0;51.8;7;partly-cloudy-day
2024-09-29;22.6;0;0;0;57.7;7;partly-cloudy-day
2024-09-30;17;9.602;0;0;88.3;3;rain
2024-10-01;16.2;8;0;0;88.3;2;rain
2024-10-02;18.3;0;0;0;57;4;partly-cloudy-day
2024-10-03;19.2;0;0;0;4.9;6;clear-day
2024-10-04;22.1;0;0;0;0.2;7;clear-day
2024-10-05;24.7;0;0;0;11.4;0;clear-day
2024-10-06;24;0;0;0;71.1;5;partly-cloudy-day
2024-10-07;19.8;12.902;0;0;60.5;4;rain
2024-10-08;19.7;0;0;0;16.9;7;clear-day
2024-10-09;19.7;0;0;0;29.9;6;partly-cloudy-day
2024-10-10;22.2;0;0;0;46.4;6;partly-cloudy-day
2024-10-11;22.9;0;0;0;36.7;6;partly-cloudy-day
2024-10-12;20;533;0;0;70.2;1;rain
2024-10-13;17.1;8.543;0;0;80.9;2;rain
2024-10-14;16.2;0;0;0;43.2;5;partly-cloudy-day
2024-10-15;16.9;0;0;0;9.7;7;clear-day
2024-10-16;15.8;851;0;0;61.6;9;rain
