Date;2025 Grammy Awards (Countdown);2025 Oscar Awards (Countdown);2025 Paris Fashion Week (Bool);2025 Ramazan (Bool);1404 Nowruz (Countdown);2025 New Year (Countdown);2024 United States presidential election (Countdown);24/25 UEFA Champions League (Bool);24/25 School Year (Bool);Weekday (Bool);Weekend (Bool)
2024-09-11;145;173;0;0;191;112;55;0;0;1;0
2024-09-12;144;172;0;0;190;111;54;0;0;1;0
2024-09-13;143;171;0;0;189;110;53;0;0;1;0
2024-09-14;142;170;0;0;188;109;52;0;0;0;1
2024-09-15;141;169;0;0;187;108;51;0;0;0;1
2024-09-16;140;168;0;0;186;107;50;0;0;1;0
2024-09-17;139;167;0;0;185;106;49;1;0;1;0
2024-09-18;138;166;0;0;184;105;48;1;0;1;0
2024-09-19;137;165;0;0;183;104;47;1;0;1;0
2024-09-20;136;164;0;0;182;103;46;0;0;1;0
2024-09-21;135;163;0;0;181;102;45;0;0;0;1
2024-09-22;134;162;0;0;180;101;44;0;0;0;1
2024-09-23;133;161;0;0;179;100;43;0;1;1;0
2024-09-24;132;160;0;0;178;99;42;0;1;1;0
2024-09-25;131;159;0;0;177;98;41;0;1;1;0
2024-09-26;130;158;0;0;176;97;40;0;1;1;0
2024-09-27;129;157;0;0;175;96;39;0;1;1;0
2024-09-28;128;156;0;0;174;95;38;0;1;0;1
2024-09-29;127;155;0;0;173;94;37;0;1;0;1
2024-09-30;126;154;0;0;172;93;36;0;1;1;0
2024-10-01;125;153;0;0;171;92;35;1;1;1;0
2024-10-02;124;152;0;0;170;91;34;1;1;1;0
2024-10-03;123;151;0;0;169;90;33;0;1;1;0
2024-10-04;122;150;0;0;168;89;32;0;1;1;0
2024-10-05;121;149;0;0;167;88;31;0;1;0;1
2024-10-06;120;148;0;0;166;87;30;0;1;0;1
2024-10-07;119;147;0;0;165;86;29;0;1;1;0
2024-10-08;118;146;0;0;164;85;28;0;1;1;0
2024-10-09;117;145;0;0;163;84;27;0;1;1;0
2024-10-10;116;144;0;0;162;83;26;0;1;1;0
2024-10-11;115;143;0;0;161;82;25;0;1;1;0
2024-10-12;114;142;0;0;160;81;24;0;1;0;1
2024-10-13;113;141;0;0;159;80;23;0;1;0;1
2024-10-14;112;140;0;0;158;79;22;0;1;1;0
2024-10-15;111;139;0;0;157;78;21;0;1;1;0
2024-10-16;110;138;0;0;156;77;20;0;1;1;0
2024-10-17;109;137;0;0;155;76;19;0;1;1;0
2024-10-18;108;136;0;0;154;75;18;0;1;1;0
2024-10-19;107;135;0;0;153;74;17;0;1;0;1
2024-10-20;106;134;0;0;152;73;16;0;1;0;1
2024-10-21;105;133;0;0;151;72;15;0;1;1;0
2024-10-22;104;132;0;0;150;71;14;1;1;1;0
2024-10-23;103;131;0;0;149;70;13;1;1;1;0
2024-10-24;102;130;0;0;148;69;12;0;1;1;0
2024-10-25;101;129;0;0;147;68;11;0;1;1;0
2024-10-26;100;128;0;0;146;67;10;0;1;0;1
2024-10-27;99;127;0;0;145;66;9;0;1;0;1
2024-10-28;98;126;0;0;144;65;8;0;1;1;0
2024-10-29;97;125;0;0;143;64;7;0;1;1;0
2024-10-30;96;124;0;0;142;63;6;0;1;1;0
2024-10-31;95;123;0;0;141;62;5;0;1;1;0
2024-11-01;94;122;0;0;140;61;4;0;1;1;0
2024-11-02;93;121;0;0;139;60;3;0;1;0;1
2024-11-03;92;120;0;0;138;59;2;0;1;0;1
2024-11-04;91;119;0;0;137;58;1;0;1;1;0
2024-11-05;90;118;0;0;136;57;0;1;1;1;0
2024-11-06;89;117;0;0;135;56;-1;1;1;1;0
2024-11-07;88;116;0;0;134;55;-2;0;1;1;0
2024-11-08;87;115;0;0;133;54;-3;0;1;1;0
2024-11-09;86;114;0;0;132;53;-4;0;1;0;1
2024-11-10;85;113;0;0;131;52;-5;0;1;0;1
2024-11-11;84;112;0;0;130;51;-6;0;1;1;0
2024-11-12;83;111;0;0;129;50;-7;0;1;1;0
2024-11-13;82;110;0;0;128;49;-8;0;1;1;0
2024-11-14;81;109;0;0;127;48;-9;0;1;1;0
2024-11-15;80;108;0;0;126;47;-10;0;1;1;0
2024-11-16;79;107;0;0;125;46;-11;0;1;0;1
2024-11-17;78;106;0;0;124;45;-12;0;1;0;1
2024-11-18;77;105;0;0;123;44;-13;0;1;1;0
2024-11-19;76;104;0;0;122;43;-14;0;1;1;0
2024-11-20;75;103;0;0;121;42;-15;0;1;1;0
2024-11-21;74;102;0;0;120;41;-16;0;1;1;0
2024-11-22;73;101;0;0;119;40;-17;0;1;1;0
2024-11-23;72;100;0;0;118;39;-18;0;1;0;1
2024-11-24;71;99;0;0;117;38;-19;0;1;0;1
2024-11-25;70;98;0;0;116;37;-20;0;1;1;0
2024-11-26;69;97;0;0;115;36;-21;1;1;1;0
2024-11-27;68;96;0;0;114;35;-22;1;1;1;0
2024-11-28;67;95;0;0;113;34;-23;0;1;1;0
2024-11-29;66;94;0;0;112;33;-24;0;1;1;0
2024-11-30;65;93;0;0;111;32;-25;0;1;0;1
2024-12-01;64;92;0;0;110;31;-26;0;1;0;1
2024-12-02;63;91;0;0;109;30;-27;0;1;1;0
2024-12-03;62;90;0;0;108;29;-28;0;1;1;0
2024-12-04;61;89;0;0;107;28;-29;0;1;1;0
2024-12-05;60;88;0;0;106;27;-30;0;1;1;0
2024-12-06;59;87;0;0;105;26;-31;0;1;1;0
2024-12-07;58;86;0;0;104;25;-32;0;1;0;1
2024-12-08;57;85;0;0;103;24;-33;0;1;0;1
2024-12-09;56;84;0;0;102;23;-34;0;1;1;0
2024-12-10;55;83;0;0;101;22;-35;1;1;1;0
2024-12-11;54;82;0;0;100;21;-36;1;1;1;0
2024-12-12;53;81;0;0;99;20;-37;0;1;1;0
2024-12-13;52;80;0;0;98;19;-38;0;1;1;0
2024-12-14;51;79;0;0;97;18;-39;0;1;0;1
2024-12-15;50;78;0;0;96;17;-40;0;1;0;1
2024-12-16;49;77;0;0;95;16;-41;0;1;1;0
2024-12-17;48;76;0;0;94;15;-42;0;1;1;0
2024-12-18;47;75;0;0;93;14;-43;0;1;1;0
2024-12-19;46;74;0;0;92;13;-44;0;1;1;0
2024-12-20;45;73;0;0;91;12;-45;0;1;1;0
2024-12-21;44;72;0;0;90;11;-46;0;1;0;1
2024-12-22;43;71;0;0;89;10;-47;0;1;0;1
2024-12-23;42;70;0;0;88;9;-48;0;1;1;0
2024-12-24;41;69;0;0;87;8;-49;0;1;1;0
2024-12-25;40;68;0;0;86;7;-50;0;1;1;0
2024-12-26;39;67;0;0;85;6;-51;0;1;1;0
2024-12-27;38;66;0;0;84;5;-52;0;1;1;0
2024-12-28;37;65;0;0;83;4;-53;0;1;0;1
2024-12-29;36;64;0;0;82;3;-54;0;1;0;1
2024-12-30;35;63;0;0;81;2;-55;0;1;1;0
2024-12-31;34;62;0;0;80;1;-56;0;1;1;0
2025-01-01;33;61;0;0;79;0;-57;0;1;1;0
2025-01-02;32;60;0;0;78;-1;-58;0;1;1;0
2025-01-03;31;59;0;0;77;-2;-59;0;1;1;0
2025-01-04;30;58;0;0;76;-3;-60;0;1;0;1
2025-01-05;29;57;0;0;75;-4;-61;0;1;0;1
2025-01-06;28;56;0;0;74;-5;-62;0;1;1;0
